timestamp,symbol,side,entry_price,exit_price,pnl_usdt,pnl_pct,exit_reason
2026-08-15T11:14:13.199729,JCT_USDT,SHORT,0.002288,0.002303,-1.1583730156432404,-0.7358566433566324,TRAIL_SL
2026-08-15T10:23:13.691318,APR_USDT,SHORT,0.1874,0.1949,-8.10185505155625,-4.083735325506932,SL
2026-08-15T09:59:38.892123,DOS_USDT,SHORT,0.2969,0.2785,11.934439306475241,6.001380720781406,VOL_DECAY
2026-08-15T09:38:29.574346,BEAT_USDT,SHORT,0.578,0.602,-7.750631461962482,-4.233910034602071,SL
2026-08-15T09:34:17.531665,BEAT_USDT,SHORT,0.629,0.585,5.992669333019321,6.320651446740859,TRAIL_SL
2026-08-15T08:57:27.727827,DOLO_USDT,LONG,0.02526,0.02424,-4.5381253592910875,-4.116389548693594,SL
2026-08-15T07:26:23.714740,ROBO_USDT,LONG,0.02043,0.01956,-6.889832306555439,-4.336740088105722,SL
2026-08-15T07:26:09.794635,ROBO_USDT,LONG,0.01982,0.0197,-1.0900904421128335,-0.6852068617558066,BE_SL
2026-08-15T06:37:07.704279,DOS_USDT,SHORT,0.2979,0.2975,0.05401478092601542,0.054326955354148734,BE_SL
2026-08-15T05:19:25.391641,ROBO_USDT,LONG,0.01903,0.01883,-1.576172233846324,-1.13055176037835,BE_SL
2026-08-15T04:40:02.974201,AIO_USDT,LONG,0.05499,0.05275,-8.338288791438865,-4.1518385160938385,SL
2026-08-15T03:21:56.307547,ALICE_USDT,LONG,0.1739,0.1657,-9.720081502668439,-4.793467510063254,SL
2026-08-15T03:11:12.115441,ALICE_USDT,LONG,0.1566,0.1723,15.03705272964907,7.527173026819939,TRAIL_SL
2026-08-15T01:00:08.155554,ACE_USDT,LONG,0.33282,0.33191,-0.706310778841101,-0.3533117000180401,BE_SL
2026-08-14T20:18:07.231147,CAP_USDT,LONG,0.06184,0.06514,7.847546033545498,5.652246934023295,TRAIL_SL
2026-08-14T19:51:20.768609,ALICE_USDT,LONG,0.1473,0.1413,-8.303493213500206,-4.15169042769856,SL
2026-08-14T19:17:50.593660,EDEN_USDT,LONG,0.06112,0.06115,-0.06187639337208467,-0.030935863874346013,TRAIL_SL
2026-08-14T17:36:07.946654,CAP_USDT,LONG,0.07389,0.07502,2.0242115343881224,1.4486885911490288,TRAIL_SL
2026-08-14T17:00:26.076715,BEAT_USDT,SHORT,0.669,0.686,-5.261618355044985,-2.622122571001488,SL
2026-08-14T15:58:01.358934,VELVET_USDT,LONG,1.0719,1.069,-0.703693899189058,-0.350439406661067,BE_SL
2026-08-14T15:10:42.881067,TUT_USDT,SHORT,0.03588,0.03438,10.323181272665114,5.194349698996658,TRAIL_SL
2026-08-14T13:46:41.038650,BEAT_USDT,SHORT,0.648,0.65,-0.7732284406168244,-0.38876543209876585,BE_SL
2026-08-14T13:05:56.498260,BEAT_USDT,SHORT,0.669,0.646,4.846345255853113,4.897176920777282,TRAIL_SL
2026-08-14T12:38:45.554409,ACE_USDT,LONG,0.17006,0.16688,-1.93271541927096,-1.9491802893096544,BE_SL
2026-08-14T12:09:09.681507,LAB_USDT,SHORT,0.0846,0.085,-0.7683324083572167,-0.5530023640662024,VOL_DECAY
2026-08-14T11:41:11.223555,BEAT_USDT,SHORT,0.735,0.735,-0.09558959080444049,-0.07999999999999999,BE_SL
2026-08-14T11:08:58.804745,LAB_USDT,SHORT,0.0846,0.0846,-0.15881210562533946,-0.08000000000000002,BE_SL
2026-08-14T10:31:40.594991,TUT_USDT,SHORT,0.0378,0.03932,-6.5581080428114165,-4.1027724867724995,SL
2026-08-14T10:20:49.810516,BEAT_USDT,SHORT,0.776,0.775,0.09774074124324517,0.048917525773195636,BE_SL
2026-08-14T07:28:54.385857,APR_USDT,LONG,0.5365,0.5124,-9.215991001598812,-4.570281453867663,SL
2026-08-14T07:09:28.607710,APR_USDT,LONG,0.52,0.5279,8.252018461538471,4.1260092307692355,TRAIL_SL
2026-08-13T23:15:58.694337,SNDK_USDT,LONG,1559.65,1538.31,-2.166127566684743,-1.4477083961145236,VOL_DECAY
2026-08-13T22:59:36.790388,EDEN_USDT,LONG,0.06075,0.06084,0.09676154083470573,0.06808888888888694,TRAIL_SL
2026-08-13T22:54:30.817615,SCRT_USDT,LONG,0.03436,0.03438,-0.038753681352885955,-0.021816065192095856,BE_SL
2026-08-13T22:17:39.911902,EDEN_USDT,LONG,0.05684,0.06014,10.25419950523621,5.839939310344824,TRAIL_SL
2026-08-13T20:05:04.834454,ROBO_USDT,LONG,0.01416,0.01397,-1.8361946126688753,-1.421271186440679,VOL_DECAY
2026-08-13T19:15:21.561697,BICO_USDT,SHORT,0.02905,0.02865,1.9479597238461133,1.2974870912220418,TRAIL_SL
2026-08-13T18:31:26.352926,SNXX_USDT,LONG,13.35,14.51,10.318671757185854,6.992825168539326,TRAIL_SL
2026-08-13T18:13:56.855127,BSP_USDT,SHORT,41.17,41.11,0.09025883338571145,0.06579548214718384,BE_SL
2026-08-13T17:50:08.555041,NBIS_USDT,LONG,270.32,270.64,0.07737673980800507,0.03833086712044871,BE_SL
2026-08-13T17:31:20.350585,BSP_USDT,SHORT,41.43,41.37,0.08899213424937386,0.06488052136134842,BE_SL
2026-08-13T17:23:51.641828,BSP_USDT,SHORT,42.71,41.48,7.5479164119448034,4.673855827675015,TRAIL_SL
2026-08-13T13:45:07.211049,AVAAI_USDT,LONG,0.013691,0.014083,9.326759617266822,4.663379808633411,TRAIL_SL
2026-08-13T08:16:28.472902,TST_USDT,LONG,0.01816,0.01816,-0.16,-0.08,BE_SL
2026-08-13T01:27:11.845509,APR_USDT,LONG,0.5193,0.5193,-0.1605367760403541,-0.07999999999999999,BE_SL
2026-08-12T19:23:37.733376,KAITO_USDT,SHORT,0.5083,0.4559,11.539340384875976,7.646638504819987,VOL_DECAY
2026-08-12T19:09:07.718912,APR_USDT,LONG,0.4305,0.4311,0.06475832063515954,0.05931707317072743,BE_SL
2026-08-12T18:51:52.607118,ONE_USDT,SHORT,0.000716,0.000745,-6.764172561434757,-4.131899441340794,SL
2026-08-12T18:09:45.270285,SMCI_USDT,LONG,36.63,35.82,-2.92975340569873,-2.290417690417705,VOL_DECAY
2026-08-12T17:08:32.373477,PROM_USDT,LONG,3.011,2.951,-3.405934814339015,-2.071896379940219,SL
2026-08-12T17:02:25.784009,APR_USDT,LONG,0.3731,0.4017,5.535451381815845,6.5835356097561,TRAIL_SL
